tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227751,57.36236041885508,False,True,False,False,False,False,False,False,False,False
14227752,1019.015060324617,False,False,False,False,True,False,False,False,False,False
14227753,511.4856481561765,False,False,False,False,True,False,False,False,False,False
14227756,959.644905817616,False,False,False,False,True,False,False,False,False,False
14227757,1506.7441305774407,False,False,False,False,False,True,False,False,False,False
14227758,1436.4872773405966,False,False,False,False,True,False,False,False,False,False
14227759,391.7614082130936,False,False,False,True,False,False,False,False,False,False
14227760,1378.0956821020786,False,False,False,False,True,False,False,False,False,False
14227761,312.61295375125655,False,False,False,True,False,False,False,False,False,False
14227762,1080.2998050921867,False,False,False,False,True,False,False,False,False,False
14227763,704.3558969127808,False,False,False,False,True,False,False,False,False,False
14227764,718.1979228708125,False,False,False,False,True,False,False,False,False,False
14227765,1373.1991276282488,False,False,False,False,True,False,False,False,False,False
14227766,39.574032896665265,True,False,False,False,False,False,False,False,False,False
14227767,656.9105591206512,False,False,False,False,True,False,False,False,False,False
14227768,664.8164103043008,False,False,False,False,True,False,False,False,False,False
14227769,887.6052981613674,False,False,False,False,True,False,False,False,False,False
14227770,1358.3503489769075,False,False,False,False,True,False,False,False,False,False
14227771,1260.2980246929435,False,False,False,False,True,False,False,False,False,False
14227772,235.43705295338762,False,False,False,True,False,False,False,False,False,False
14227773,721.55789446072,False,False,False,False,True,False,False,False,False,False
14227774,1246.4885895656973,False,False,False,False,True,False,False,False,False,False
14227775,780.9487571764491,False,False,False,False,True,False,False,False,False,False
14227776,415.18794685326,False,False,False,True,False,False,False,False,False,False
14227777,12.876101565865794,True,False,False,False,False,False,False,False,False,False
14227778,1259.3148032874135,False,False,False,False,True,False,False,False,False,False
14227779,205.6017143825632,False,False,False,True,False,False,False,False,False,False
14227780,1390.8947951919047,False,False,False,False,True,False,False,False,False,False
14227781,579.286108378332,False,False,False,False,True,False,False,False,False,False
14227782,1029.0690303352237,False,False,False,False,True,False,False,False,False,False
14227783,346.7768853681631,False,False,False,True,False,False,False,False,False,False
14227785,810.5654272700001,False,False,False,False,True,False,False,False,False,False
14227787,761.179516686127,False,False,False,False,True,False,False,False,False,False
14227788,504.15786170115007,False,False,False,False,True,False,False,False,False,False
14227790,830.395889251068,False,False,False,False,True,False,False,False,False,False
14227791,118.61165208271973,False,False,True,False,False,False,False,False,False,False
14227792,131.36606447381303,False,False,True,False,False,False,False,False,False,False
14227793,602.976597064743,False,False,False,False,True,False,False,False,False,False
14227794,598.034165941201,False,False,False,False,True,False,False,False,False,False
14227795,444.816128379285,False,False,False,True,False,False,False,False,False,False
14227796,251.07300398266352,False,False,False,True,False,False,False,False,False,False
14227799,548.5803295548751,False,False,False,False,True,False,False,False,False,False
14227800,1992.4222001791509,False,False,False,False,False,True,False,False,False,False
14227801,504.10892097099,False,False,False,False,True,False,False,False,False,False
14227802,75.12211371332401,False,True,False,False,False,False,False,False,False,False
