tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227670,93.19437459271268,False,True,False,False,False,False,False,False,False,False
14227671,0.9996729505317072,True,False,False,False,False,False,False,False,False,False
14227672,482.73863353789477,False,False,False,True,False,False,False,False,False,False
14227673,617.5528734379515,False,False,False,False,True,False,False,False,False,False
14227674,482.74417709702686,False,False,False,True,False,False,False,False,False,False
14227675,1253.3402825724506,False,False,False,False,True,False,False,False,False,False
14227676,235.923221105523,False,False,False,True,False,False,False,False,False,False
14227677,567.0089778109328,False,False,False,False,True,False,False,False,False,False
14227678,493.65729936987964,False,False,False,True,False,False,False,False,False,False
14227679,604.6820851639211,False,False,False,False,True,False,False,False,False,False
14227680,579.9063065925285,False,False,False,False,True,False,False,False,False,False
14227681,796.0170817795769,False,False,False,False,True,False,False,False,False,False
14227682,166.42842699060478,False,False,True,False,False,False,False,False,False,False
14227685,99.99933446473005,False,True,False,False,False,False,False,False,False,False
14227686,259.9997183351454,False,False,False,True,False,False,False,False,False,False
14227687,212.0234528740138,False,False,False,True,False,False,False,False,False,False
14227688,37.97573117571603,True,False,False,False,False,False,False,False,False,False
14227689,29.999977971759744,True,False,False,False,False,False,False,False,False,False
14227690,14.419440636340402,True,False,False,False,False,False,False,False,False,False
14227691,27.999652775476132,True,False,False,False,False,False,False,False,False,False
14227693,12.999716632814623,True,False,False,False,False,False,False,False,False,False
14227694,218.8875955390098,False,False,False,True,False,False,False,False,False,False
14227695,278.4420234927318,False,False,False,True,False,False,False,False,False,False
14227696,1049.563585774332,False,False,False,False,True,False,False,False,False,False
14227697,402.99281076433607,False,False,False,True,False,False,False,False,False,False
14227698,881.253555484725,False,False,False,False,True,False,False,False,False,False
14227699,429.73487986562844,False,False,False,True,False,False,False,False,False,False
14227700,403.0227213259599,False,False,False,True,False,False,False,False,False,False
14227701,505.027062519603,False,False,False,False,True,False,False,False,False,False
14227702,212.90519066817302,False,False,False,True,False,False,False,False,False,False
14227703,510.9927689609448,False,False,False,False,True,False,False,False,False,False
14227704,912.079915788621,False,False,False,False,True,False,False,False,False,False
14227705,4692.426838471033,False,False,False,False,False,False,True,False,False,False
14227706,49.99969809646924,True,False,False,False,False,False,False,False,False,False
14227707,187.1208678364767,False,False,True,False,False,False,False,False,False,False
14227708,745.5443175317589,False,False,False,False,True,False,False,False,False,False
14227709,363.3683502109125,False,False,False,True,False,False,False,False,False,False
14227710,761.3946689874505,False,False,False,False,True,False,False,False,False,False
14227711,761.3954375036726,False,False,False,False,True,False,False,False,False,False
14227712,449.512310535349,False,False,False,True,False,False,False,False,False,False
14227713,426.74529143404686,False,False,False,True,False,False,False,False,False,False
14227714,26304.917851114216,False,False,False,False,False,False,False,False,False,True
14227715,152.4573650925556,False,False,True,False,False,False,False,False,False,False
14227716,111.542540520774,False,False,True,False,False,False,False,False,False,False
14227717,199.99974826505,False,False,True,False,False,False,False,False,False,False
14227718,308.857172878488,False,False,False,True,False,False,False,False,False,False
14227719,191.14215357630954,False,False,True,False,False,False,False,False,False,False
14227721,39.9998415861084,True,False,False,False,False,False,False,False,False,False
14227722,15.999738605620584,True,False,False,False,False,False,False,False,False,False
14227723,14.999691546893999,True,False,False,False,False,False,False,False,False,False
14227724,26.439815392218,True,False,False,False,False,False,False,False,False,False
14227725,41.44940837917199,True,False,False,False,False,False,False,False,False,False
14227726,499.999290067506,False,False,False,True,False,False,False,False,False,False
14227727,19.999846953734682,True,False,False,False,False,False,False,False,False,False
14227728,69.999887180715,False,True,False,False,False,False,False,False,False,False
